Name,Position,Footed,Birthdate,Birthdate,Nationality,Club,Non-Penalty Goals,Non-Penalty xG(npxG),Shots Total,Assists,Expected Assisted Goals(xAG),npxG + xAG,Shot-Creating Actions,Passes Attempted,Pass Completion %,Progessive Passes,Progessive Carries,Successful Take-Ons,Touches(Att Pen),Tackles,Interceptions,Blocks,Clearances,Aerials Won
Dávid Hancko,DF(CB-FB-left),Left,December 13, 1997,Slovakia,Feyenoord,0.09,0.11,0.79,0.00,46  ,0.12,1.24,61.2,89.2%,4.76,1.59,0.88,1.06,0.97,1.15,1.24,4.76,0.62
Quinten Timber,MF(CM-DM),N/A,June 17, 2001,Netherlands,Feyenoord,0.00,0.04,0.76,0.13,38  ,0.10,2.77,30.5,79.8%,2.77,1.64,2.14,2.77,1.76,1.13,1.13,0.63,0.50
Antoni Milambo,MF,N/A,April 3, 2005,Netherlands,Feyenoord,0.39,0.13,1.18,0.13,65  ,0.24,2.23,21.1,79.5%,2.50,1.18,1.71,3.02,1.18,0.66,0.92,1.18,0.26
Hwang In-beom,MF(CM-DM),Right,September 20, 1996,Korea,Feyenoord,0.00,0.03,0.95,0.00,61  ,0.13,1.58,49.9,82.2%,4.60,1.11,0.16,1.58,2.22,1.11,1.27,1.74,0.79
Thomas Beelen,DF(CB),N/A,June 11, 2001,Netherlands,Feyenoord,0.00,0.01,0.23,0.00,32  ,0.02,0.70,47.6,88.5%,2.22,0.12,0.47,0.12,1.29,1.17,1.29,2.57,1.05
Ramiz Zerrouki,MF(CM-DM),Right,May 26, 1998,Algeria,Feyenoord,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Hugo Bueno,DF-MF(FB-left),Left,September 18, 2002,Spain,Feyenoord,0.00,0.00,0.14,0.00,35  ,0.07,1.14,42.0,78.7%,1.85,3.27,0.71,3.98,1.56,1.42,2.13,2.27,1.14
Santiago Giménez,FW,Left,April 18, 2001,Mexico,Milan,1.03,0.48,2.57,0.17,27  ,0.55,1.88,12.6,68.9%,1.20,1.20,4.28,4.79,0.51,0.34,1.03,1.20,1.37
Anis Hadj Moussa,MF,N/A,February 11, 2002,Algeria,Feyenoord,0.52,0.10,1.39,0.00,1   ,0.16,2.44,28.9,67.5%,3.48,4.35,3.31,6.96,0.70,0.17,0.87,0.52,0.70
Givairo Read,DF,N/A,June 2, 2006,Netherlands,Feyenoord,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0251,0.00,0.00
